Dados salvos do sensor de vazão
id:SV40L
unidade:l/s
Numero de amostras:121
Periodo de amostragem (s):1
Horario,dado
07:30:00,75
07:30:01,20
07:30:02,44
07:30:03,43
07:30:04,22
07:30:05,43
07:30:06,55
07:30:07,42
07:30:08,50
07:30:09,72
07:30:10,45
07:30:11,44
07:30:12,77
07:30:13,81
07:30:14,19
07:30:15,37
07:30:16,64
07:30:17,33
07:30:18,34
07:30:19,20
07:30:20,17
07:30:21,24
07:30:22,75
07:30:23,44
07:30:24,76
07:30:25,32
07:30:26,57
07:30:27,36
07:30:28,34
07:30:29,62
07:30:30,29
07:30:31,50
07:30:32,46
07:30:33,33
07:30:34,45
07:30:35,58
07:30:36,69
07:30:37,39
07:30:38,81
07:30:39,22
07:30:40,36
07:30:41,60
07:30:42,64
07:30:43,26
07:30:44,26
07:30:45,47
07:30:46,59
07:30:47,67
07:30:48,20
07:30:49,79
07:30:50,43
07:30:51,80
07:30:52,54
07:30:53,47
07:30:54,67
07:30:55,44
07:30:56,61
07:30:57,37
07:30:58,22
07:30:59,70
07:31:00,57
07:31:01,38
07:31:02,23
07:31:03,33
07:31:04,83
07:31:05,48
07:31:06,66
07:31:07,80
07:31:08,80
07:31:09,24
07:31:10,54
07:31:11,45
07:31:12,34
07:31:13,28
07:31:14,68
07:31:15,25
07:31:16,59
07:31:17,21
07:31:18,29
07:31:19,41
07:31:20,54
07:31:21,81
07:31:22,83
07:31:23,73
07:31:24,82
07:31:25,44
07:31:26,49
07:31:27,78
07:31:28,31
07:31:29,75
07:31:30,27
07:31:31,58
07:31:32,22
07:31:33,63
07:31:34,45
07:31:35,26
07:31:36,38
07:31:37,34
07:31:38,67
07:31:39,80
07:31:40,58
07:31:41,48
07:31:42,66
07:31:43,73
07:31:44,57
07:31:45,81
07:31:46,35
07:31:47,71
07:31:48,48
07:31:49,75
07:31:50,25
07:31:51,60
07:31:52,53
07:31:53,59
07:31:54,44
07:31:55,22
07:31:56,29
07:31:57,42
07:31:58,30
07:31:59,31
07:32:00,47
